NATION|SEASON ID|RALLY ID|STAGE PROGR IN RALLY|WINNER|CAR FEDE|CAR BOMBER|WEATHER|TIME|CREATION TM|ENTITY ID|SEASON FINISHED|SEASON START
Spain|15|16|0|FEDE|||CLEAR_SKY|DAWN|2019-05-10T23:25:06.665|17|true|2019-05-10T23:25:06.665
Spain|15|16|1|FEDE|||CLEAR_SKY|DAWN|2019-05-10T23:25:06.665|18|true|2019-05-10T23:25:06.665
Spain|15|16|2|BOMBER|||CLEAR_SKY|DAWN|2019-05-10T23:25:06.666|19|true|2019-05-10T23:25:06.665
Spain|15|16|3|BOMBER|||CLEAR_SKY|DAWN|2019-05-10T23:25:06.666|20|true|2019-05-10T23:25:06.665
Spain|15|16|4|BOMBER|||CLEAR_SKY|DAWN|2019-05-10T23:25:06.667|21|true|2019-05-10T23:25:06.665
Sweden|15|22|0|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:26:13.844|23|true|2019-05-10T23:25:06.665
Sweden|15|22|1|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T00:26:13.845|24|true|2019-05-10T23:25:06.665
Sweden|15|22|2|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:26:13.845|25|true|2019-05-10T23:25:06.665
Sweden|15|22|3|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:26:13.846|26|true|2019-05-10T23:25:06.665
France|15|27|0|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:50:58.281|28|true|2019-05-10T23:25:06.665
France|15|27|1|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:50:58.281|29|true|2019-05-10T23:25:06.665
France|15|27|2|FEDE|||CLEAR_SKY|DAWN|2019-05-11T00:50:58.282|30|true|2019-05-10T23:25:06.665
Mexico|15|31|0|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T01:21:10.678|32|true|2019-05-10T23:25:06.665
Mexico|15|31|1|FEDE|||CLEAR_SKY|DAWN|2019-05-11T01:21:10.678|33|true|2019-05-10T23:25:06.665
Mexico|15|31|2|FEDE|||CLEAR_SKY|DAWN|2019-05-11T01:21:10.679|34|true|2019-05-10T23:25:06.665
Mexico|15|31|3|FEDE|||CLEAR_SKY|DAWN|2019-05-11T01:21:10.679|35|true|2019-05-10T23:25:06.665
China|15|36|0|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T01:48:16.279|37|true|2019-05-10T23:25:06.665
China|15|36|1|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T01:48:16.279|38|true|2019-05-10T23:25:06.665
China|15|36|2|FEDE|||CLEAR_SKY|DAWN|2019-05-11T01:48:16.28|39|true|2019-05-10T23:25:06.665
China|15|36|3|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T01:48:16.28|40|true|2019-05-10T23:25:06.665
Italy|15|41|0|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T02:26:04.961|42|true|2019-05-10T23:25:06.665
Italy|15|41|1|FEDE|||CLEAR_SKY|DAWN|2019-05-11T02:26:04.961|43|true|2019-05-10T23:25:06.665
Italy|15|41|2|FEDE|||CLEAR_SKY|DAWN|2019-05-11T02:26:04.961|44|true|2019-05-10T23:25:06.665
Italy|15|41|3|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T02:26:04.962|45|true|2019-05-10T23:25:06.665
Italy|15|41|4|BOMBER|||CLEAR_SKY|DAWN|2019-05-11T02:26:04.962|46|true|2019-05-10T23:25:06.665
Australia|15|47|0|FEDE|||CLEAR_SKY|DAWN|2019-05-17T23:15:54.678|48|true|2019-05-10T23:25:06.665
